frequency	multicast-pull	multicast-push
2	0.5277308300884955	0.048519082059800656
4	0.5905246019736842	0.054727084800000006
6	0.8648288161290323	0.08367461479591838
8	0.7954624788571428	0.20056964532374105
10	0.7401817056603773	0.21159171518324604
12	1.2834890873786409	0.2591280791666667
